hospital ID,hospital Age,hospital Location,hospital has Type,Experience (Years),Patients in Lifetime,Patients in Queue,Pev_Visited
2447,113.0,0,0,9.376635682054882,4925.3291326268845,10.598021664838218,0
2918,97.0,18,0,7.21393638158055,9811.060792066868,21.423490101647,0
2731,81.0,9,0,17.03837296686063,14214.89703647326,29.01085026146559,0
2581,65.0,16,1,25.911686251294583,20647.404665300222,39.78047236843602,0
2806,49.0,18,1,34.14736398111413,25295.977365500134,50.52033990909391,1
2298,66.0,59,0,1.6485171239863186,4885.194024896378,10.700015618686471,0
2154,50.0,114,0,10.339255244037242,10855.275252602034,20.139402522912388,0
2835,34.0,87,0,22.16260376690658,15072.07611362935,31.341085157307752,0
2108,18.0,89,1,24.81790235103534,20937.339022390483,41.38889747905979,0
2135,2.0,86,1,29.775219017355187,24424.423902007904,50.496117697109725,1
2684,108.0,88,0,11.574572867327792,5657.380734588274,10.06525949348338,0
2614,92.0,30,0,17.684218254705378,9266.853605520297,19.328700782577997,0
2134,76.0,43,0,15.926128847175614,14209.4974321952,29.09251968937312,0
2852,60.0,44,1,29.389634899916132,19069.06154213133,38.95348862985423,0
2613,44.0,48,1,34.32798115979869,25198.35563355643,49.75075775463662,1
2155,68.0,111,0,0.2159530856103271,4395.813414170913,8.574486461525161,0
2144,52.0,63,0,6.063581631922566,10760.430093444977,18.232176348328075,0
2483,36.0,91,0,17.548269461346276,14752.518140436216,29.70408418198368,0
2445,20.0,85,1,21.633738599753546,20971.799449759357,40.74783052132803,0
2649,4.0,88,1,24.79226105901452,24868.713847450214,48.48488890351263,1
2440,77.0,26,0,1.5364713190467736,4043.644230743732,11.343691931214222,0
2692,61.0,84,0,8.773280890953142,9450.53508435164,19.587159810396187,0
2905,45.0,46,0,14.428339383972649,15222.850676118636,28.64095407119038,0
2244,29.0,48,1,21.49337255112693,20070.98139109555,39.385359213877685,0
2453,13.0,56,1,33.21364471272227,25690.598625545703,50.41543528543979,1
2670,87.0,95,0,9.04307347879191,5492.244488086234,9.96291160027216,0
2513,71.0,45,0,9.766998962652506,10921.653582049255,20.716681371810232,0
2672,55.0,77,0,15.874391591556764,14977.891619319664,30.54977418679687,0
2300,39.0,64,1,26.52152721504315,20897.98864929556,41.381972077565024,0
2155,23.0,65,1,33.26183781245314,24214.49929352745,48.42434570108094,1
2524,105.0,29,0,6.444444322667743,5695.12426469046,8.523914828723402,0
2156,89.0,35,0,13.148265979138694,10002.524712806133,19.220850497747463,0
2093,73.0,50,0,20.09688602706241,14559.800828311323,28.70555017869596,0
2929,57.0,55,1,22.343992789673404,19676.464755985624,39.2940389608258,0
2060,41.0,53,1,29.086443130294978,24939.854968767435,51.44082937013224,1
2771,72.0,37,0,4.175088171655632,4892.563598715948,10.621360563389793,0
2731,56.0,-3,0,11.189821615446396,9377.040657911895,19.378108110374185,0
2520,40.0,4,0,13.987973313978436,15798.066357044328,31.683938903618547,0
2280,24.0,22,1,24.178354450133305,19039.426007225386,40.40371489724454,0
2708,8.0,16,1,24.4456528337535,24448.742903712733,48.02676259199555,1
2255,79.0,38,0,4.85364663142881,5737.676917048617,8.193228530632018,0
2594,63.0,46,0,7.592788991676436,9946.33505180972,18.18468641344034,0
2026,47.0,64,0,13.3281017243745,14905.729571983817,28.42566640038195,0
2373,31.0,52,1,21.738139276921608,20992.099171201346,38.812919192080805,0
2337,15.0,50,1,31.07508574787307,24918.003272277405,51.71413797649105,1
2304,81.0,83,0,2.172302301769945,5621.792018885281,11.746375827457094,0
2019,65.0,34,0,12.220866102372549,10911.869999011922,19.83828820836349,0
2146,49.0,45,0,22.592624736369253,15384.964782903731,29.75126734762074,0
2627,33.0,54,1,23.563362432834147,19669.92829735813,39.78028800382863,0
2270,17.0,45,1,33.98813215510029,25333.006901869157,48.92803528976515,1
2999,127.0,54,0,3.381808423996225,5284.889788698785,8.3411705316008,0
2843,111.0,44,0,16.650319141403955,9945.341103416798,20.003309843314742,0
2201,95.0,35,0,18.50966224331864,15175.652210531576,31.94338600087186,0
2382,79.0,16,1,23.68764778150236,20734.115202960056,39.43346840980088,0
2008,63.0,21,1,33.59982993371877,25684.48464180911,50.16699502421312,1
2214,132.0,52,0,8.628276131631802,4746.007541931759,10.535153265208312,0
2079,116.0,74,0,17.07179859281556,9423.708984350516,18.26295317056719,0
2588,100.0,81,0,14.370029187764786,14297.032805423392,30.234888819218952,0
2370,84.0,58,1,23.981838365777783,19567.71316842715,40.75760120287603,0
2381,68.0,62,1,26.17843083076029,24610.205323573875,48.85507525697932,1
2104,144.0,7,0,8.162136030279765,5036.80273604306,10.971922356307289,0
2939,128.0,30,0,15.00529569236853,10075.641953676952,18.65171898469071,0
2122,112.0,22,0,21.163691480381463,14507.588889038603,31.800164503816077,0
2429,96.0,32,1,22.035702607793127,19697.487955127694,41.46509941081377,0
2999,80.0,38,1,35.13471496188822,25937.255930215764,50.67960059236961,1
2530,99.0,47,0,10.84372536037993,5640.70879240107,10.979345885669252,0
2253,83.0,47,0,7.509543674688905,10086.502298597725,21.41611542988883,0
2375,67.0,37,0,23.482498293627785,14378.04895282666,29.055431219060427,0
2390,51.0,23,1,27.871500431346643,19255.91258080845,39.350577357284976,0
2678,35.0,30,1,27.73167120519081,24603.27553328246,49.10922249529878,1
2337,67.0,89,0,8.574077887282549,5510.866051005639,9.620373359767484,0
2904,51.0,81,0,9.992967996833045,9631.912154076546,21.52163656025111,0
2251,35.0,72,0,22.96526268257993,14722.94245830258,29.15607540228691,0
2606,19.0,83,1,19.300699313729314,19756.04227540895,40.6015521194064,0
2020,3.0,82,1,24.574294574433733,25073.49348999843,49.392818709912085,1
2734,95.0,73,0,6.282929944987555,5108.393290445036,11.088745460111484,0
2583,79.0,55,0,17.793475540165584,9565.728534191012,20.43232853543577,0
2282,63.0,40,0,14.77181236658632,15454.27112171548,28.682036286161384,0
2707,47.0,31,1,29.531072947990623,20307.35962866231,39.599806010726816,0
2167,31.0,33,1,28.20389888001751,25677.71432713602,50.752902482276944,1
2978,80.0,112,0,1.7359539758578406,5307.376052761789,8.217936608933773,0
2030,64.0,82,0,6.936589382222406,9558.886098505614,19.190306639666616,0
2552,48.0,101,0,16.103039761215648,15406.027484139771,28.290360561894524,0
2973,32.0,80,1,24.726083488291355,20173.38121562957,40.26207732382298,0
2502,16.0,85,1,28.986841134342995,24760.152740227128,49.53780972270742,1
2676,121.0,132,0,7.760811712375623,4272.576223298122,8.86378803889134,0
2416,105.0,83,0,10.512803630819494,10316.945298276452,19.2099379544543,0
2975,89.0,98,0,17.85814619240542,15829.60652604513,31.304198878509453,0
2014,73.0,101,1,22.83092505815909,20356.953355409085,38.59385760410166,0
2632,57.0,94,1,29.27253240239523,24679.43605574061,48.38343640432954,1
2996,120.0,28,0,1.6531247511596885,5529.2374863339,8.371304112364529,0
2193,104.0,29,0,9.791610650753771,9013.801679490609,21.44223037163997,0
2444,88.0,14,0,18.30022844880488,14988.664503654372,31.00451706137741,0
2762,72.0,25,1,21.761283597563917,19703.238792301687,38.4359544223669,0
2181,56.0,20,1,24.184841788318614,24089.192236755494,48.9270309363565,1
2571,84.0,70,0,1.7216327746825528,5670.58260831764,11.73047697469902,0
2721,68.0,72,0,15.571588148211656,9811.15472181194,20.172312803880597,0
2290,52.0,65,0,14.470753204137734,14788.08746056182,29.73752219320378,0
2794,36.0,72,1,21.881062473652364,19203.984989002533,41.16670949654676,0
2446,20.0,63,1,30.61078216267521,24620.466102434457,50.68801694777625,1
2202,143.0,103,0,8.549013652654834,4811.878523841588,9.442214418631924,0
2259,127.0,68,0,9.443860213551686,9329.625145952676,18.84872336871616,0
2496,111.0,54,0,21.479810685866138,15336.328959553768,29.77936169096486,0
2256,95.0,73,1,21.229961449886392,19874.78119215873,41.84478836873167,0
2588,79.0,74,1,35.97782321452199,25749.393427642557,48.50586795534834,1
2929,144.0,-22,0,8.081707113067647,4603.482194081859,9.362015867039611,0
2819,128.0,8,0,11.339088321013076,9690.908246792807,19.37037139969641,0
2327,112.0,11,0,14.694540040827963,14914.14801860269,30.014595576167963,0
2846,96.0,17,1,26.43257834348621,19493.932152041343,38.35112353054458,0
2515,80.0,15,1,29.97241130287581,24054.29537744295,49.07636556359804,1
2197,118.0,85,0,8.517536694704837,4490.4121051464535,10.39090111941745,0
2172,102.0,94,0,11.233147253344343,9133.749604818084,21.3458787971361,0
